question_content,question_content_image,answer_content,answer_content_image,box_number,last_reviewed
"À quoi sert la norme SIA 380/4 ?",,"Elle vise l’utilisation rationnelle de l’électricité dans le bâtiment et fournit un outil d’optimisation de la consommation électrique.",,"213","01-18-26"
"Que signifie une adjudication à forfait ?",,"Les parties conviennent d’un prix forfaitaire ferme","indépendant des quantités réellement exécutées.",,"214","01-18-26"
"Citez quatre prestations comprises dans la phase « projet d’exécution ».",,"Calculs définitifs ; Élaboration des plans d’exécution ; Coordination des installations ; Contrôle des plans d’atelier.",,"215","01-18-26"
"Citez quatre groupes professionnels composant la SIA.",,"Architecture ; Génie civil ; Technique / Industrie ; Environnement (sol","air","eau).",,"216","01-18-26"
"La coordination interdisciplinaire CVSE est-elle incluse d’office dans le mandat de l’ingénieur électricien ?",,"Non. Elle nécessite un mandat séparé et une rémunération spécifique.",,"217","01-18-26"
"Citez deux indications que doit contenir le programme des travaux de l’entrepreneur.",,"L’avancement des travaux dans les délais contractuels et les effectifs prévus par phase.",,"218","01-18-26"
"Un descriptif détaillé est-il nécessaire pour un contrat à forfait ?",,"Oui. Un cahier des charges clair","complet et détaillé est indispensable.",,"219","01-18-26"
"Qui est responsable de la sécurité des personnes sur le chantier ?",,"Les entrepreneurs et la direction des travaux.",,"220","01-18-26"
"La technique MCR fait-elle partie d’office du mandat de l’ingénieur électricien ?",,"Non. Un mandat spécifique pour la technique MCR doit être convenu séparément.",,"221","01-18-26"
"Qu’est-ce que l’hypothèque légale des artisans et entrepreneurs ?",,"Il s’agit d’une garantie légale permettant à l’entrepreneur de sécuriser ses créances sur l’ouvrage.",,"222","01-18-26"
"Où trouver des exemples de bilans énergétiques de bâtiments ?",,"Dans l’annexe B (partie informative) de la norme SIA 380/4.",,"223","01-18-26"
"Comment se définit l’indice de dépense d’énergie E ?",,"Il correspond à l’énergie finale annuelle consommée","exprimée en MJ","divisée par la surface de référence énergétique du bâtiment.",,"224","01-18-26"
"Citez deux conditions précisées par le MO dans un appel d’offres.",,"La date de dépôt de l’offre et la durée de validité de celle-ci.",,"225","01-18-26"
"Quelles prestations comprend la phase de projet de l’ouvrage ?",,"Définition technique ; Optimisation énergétique ; Coordination interdisciplinaire ; Élaboration du devis et du planning.",,"226","01-18-26"
"Qu’est-il important de faire à la fin des travaux ?",,"Procéder à la réception vérifiée de l’ouvrage selon un protocole SIA.",,"227","01-18-26"
"Le contrôle des éléments noyés dans le béton fait-il partie du mandat standard ?",,"Non. Il s’agit d’une prestation spéciale à convenir explicitement.",,"228","01-18-26"
"Comment différencier les prestations selon le type de bâtiment ?",,"En appliquant le facteur « degré de difficulté » de la norme SIA 108.",,"229","01-18-26"
"Citez quatre pièces d’un dossier de soumission.",,"Projet de contrat ; Conditions particulières ; Devis descriptif ; Plans.",,"230","01-18-26"
"Quel est le principal objectif de la SIA 380/4 ?",,"Optimiser et rationaliser la consommation d’électricité dans les bâtiments.",,"231","01-18-26"
"Quel est le délai de garantie et quand débute-t-il ?",,"Le délai est de deux ans à compter de la réception de l’ouvrage.",,"232","01-18-26"
"La TVA est-elle incluse dans le montant de l’ouvrage pour le calcul des honoraires ?",,"Non. Le montant de référence est calculé hors TVA.",,"233","01-18-26"
"Qui publie les catégories A / B / C / D pour les ouvrages publics ?",,"La KBOB(Koordinationskonferenz der Bau- und Liegenschaftsorgane der öffentlichen Bauherren)/(Conférence de coordination des services de la construction et des immeubles des maîtres d’ouvrage publics)",,"234","01-18-26"
"Quelle est la différence entre un plan de projet et un plan d’exécution ?",,"Le plan de projet définit le concept","tandis que le plan d’exécution permet la réalisation de l’ouvrage.",,"235","01-18-26"
"Quelle norme permet de calculer la puissance et la consommation électriques d’un bâtiment ?",,"La norme SIA 2024.",,"236","01-18-26"
"Quels plans fournit l’ingénieur électricien en phase projet ?",,"Les plans d’appareillage sans tracé des lignes ni boîtes de dérivation.",,"237","01-18-26"
"À quoi servent les fiches techniques par locaux types dans la SIA 2024 ?",,"Elles définissent les valeurs spécifiques de puissance électrique par m² selon le type de local.",,"238","01-18-26"
"Que traite la norme SIA 451 ?",,"Le transfert et la structuration des données informatiques pour les descriptifs.",,"239","01-18-26"
